No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
1 ,2.73E-01,7.31E-01,9.51E-03,1.00E+00,6.17E-01,7.19E-01,3.79E+01
2 ,2.73E-01,4.45E-01,4.38E-02,9.00E-01,5.85E-01,7.11E-01,4.22E+01
3 ,1.00E+00,3.04E-01,8.33E-02,5.00E-01,6.71E-01,7.59E-01,4.73E+01
4 ,9.09E-01,3.04E-01,8.33E-02,5.00E-01,6.71E-01,7.59E-01,5.48E+01
5 ,1.81E-01,1.14E-01,5.68E-02,5.00E-01,5.73E-01,7.43E-01,4.31E+01
6 ,0.00E+00,1.62E-01,3.33E-01,3.00E-01,3.75E-01,4.21E-01,3.21E+01
7 ,0.00E+00,7.88E-01,9.28E-02,7.00E-01,5.73E-01,6.78E-01,4.03E+01
8 ,8.19E-01,4.63E-01,4.09E-02,6.00E-01,5.86E-01,7.41E-01,4.67E+01
9 ,9.09E-01,7.24E-01,8.49E-01,1.00E-01,2.29E-01,1.19E-01,1.88E+01
10 ,8.19E-01,4.09E-01,2.72E-01,3.00E-01,4.27E-01,4.46E-01,2.21E+01
11 ,4.54E-01,7.95E-01,5.91E-02,1.00E-01,5.02E-01,6.49E-01,4.14E+01
12 ,7.27E-01,1.44E-01,1.04E-02,9.00E-01,5.12E-01,7.50E-01,5.81E+01
13 ,2.73E-01,2.97E-01,7.25E-02,5.00E-01,4.01E-01,6.88E-01,3.93E+01
14 ,0.00E+00,4.66E-01,3.78E-01,4.00E-01,3.52E-01,3.98E-01,2.38E+01
15 ,9.09E-01,3.01E-01,1.77E-01,4.00E-01,7.21E-01,6.53E-01,3.43E+01
16 ,1.00E+00,8.15E-01,8.60E-02,2.00E-01,6.10E-01,7.83E-01,5.05E+01
17 ,6.36E-01,0.00E+00,4.17E-02,6.00E-01,5.50E-01,7.66E-01,7.01E+01
18 ,9.06E-02,4.04E-01,5.07E-02,1.00E-01,5.26E-01,6.22E-01,3.74E+01
19 ,8.19E-01,3.86E-01,5.33E-02,8.00E-01,4.29E-01,7.65E-01,4.23E+01
20 ,0.00E+00,3.42E-02,0.00E+00,7.00E-01,4.32E-01,7.28E-01,4.77E+01
21 ,8.19E-01,1.03E-01,3.48E-01,3.00E-01,3.77E-01,4.10E-01,2.93E+01
22 ,8.19E-01,2.40E-01,3.96E-02,7.00E-01,5.24E-01,7.75E-01,5.16E+01
23 ,2.73E-01,3.36E-01,2.07E-01,1.00E-01,2.42E-01,8.08E-01,2.46E+01
24 ,4.54E-01,2.31E-01,3.96E-02,7.00E-01,5.24E-01,7.75E-01,4.79E+01
25 ,3.64E-01,9.04E-01,7.07E-02,4.00E-01,5.02E-01,7.04E-01,3.88E+01
26 ,4.54E-01,6.69E-01,2.27E-01,2.00E-01,5.25E-01,4.72E-01,2.70E+01
27 ,0.00E+00,7.08E-02,5.58E-02,5.00E-01,5.91E-01,7.59E-01,5.62E+01
28 ,6.36E-01,2.37E-01,3.91E-02,5.00E-01,2.89E-01,7.07E-01,3.36E+01
29 ,9.09E-01,4.38E-01,8.26E-02,4.00E-01,5.10E-01,6.95E-01,4.70E+01
30 ,4.54E-01,1.62E-01,6.62E-02,5.00E-01,5.28E-01,7.92E-01,5.71E+01
31 ,9.09E-01,5.91E-01,6.96E-01,0.00E+00,1.96E-01,2.41E-01,2.21E+01
32 ,9.06E-02,6.76E-01,1.15E-01,7.00E-01,6.15E-01,6.53E-01,2.50E+01
33 ,9.06E-02,8.65E-01,7.20E-02,1.00E-01,5.02E-01,6.58E-01,3.42E+01
34 ,6.36E-01,3.77E-01,4.64E-02,6.00E-01,5.62E-01,7.47E-01,4.93E+01
35 ,9.06E-02,3.52E-01,2.82E-02,7.00E-01,6.32E-01,7.43E-01,5.51E+01
36 ,9.09E-01,3.17E-01,6.27E-01,0.00E+00,1.00E+00,4.81E-01,2.73E+01
37 ,2.73E-01,3.36E-01,2.96E-01,2.00E-01,3.85E-01,4.43E-01,2.29E+01
38 ,5.46E-01,2.74E-01,2.07E-01,1.00E-01,2.42E-01,8.08E-01,2.53E+01
39 ,0.00E+00,7.08E-02,8.58E-02,6.00E-01,4.84E-01,7.95E-01,4.77E+01
40 ,5.46E-01,3.70E-01,4.11E-02,5.00E-01,6.05E-01,7.54E-01,4.62E+01
41 ,3.64E-01,3.11E-01,6.28E-01,0.00E+00,1.15E-01,3.27E-01,1.59E+01
42 ,9.09E-01,3.84E-01,6.25E-01,0.00E+00,1.32E-01,3.22E-01,1.82E+01
43 ,8.19E-01,8.24E-01,7.67E-02,5.00E-01,3.75E-01,6.91E-01,3.47E+01
44 ,9.06E-02,7.85E-01,7.57E-02,6.00E-01,6.71E-01,7.49E-01,3.41E+01
45 ,1.00E+00,6.16E-02,7.89E-02,4.00E-01,5.14E-01,7.99E-01,5.39E+01
46 ,4.54E-01,8.36E-01,7.20E-02,8.00E-01,4.61E-01,7.70E-01,3.83E+01
47 ,8.19E-01,4.95E-01,6.82E-02,9.00E-01,4.63E-01,7.66E-01,4.20E+01
48 ,1.00E+00,8.20E-01,9.55E-02,3.00E-01,5.28E-01,6.86E-01,6.15E+01
49 ,8.19E-01,5.53E-01,7.09E-01,0.00E+00,1.79E-01,2.40E-01,1.34E+01
50 ,0.00E+00,6.71E-01,6.94E-01,1.00E-01,2.08E-01,2.36E-01,1.32E+01
51 ,8.19E-01,4.95E-01,7.57E-02,4.00E-01,5.08E-01,7.00E-01,4.42E+01
52 ,4.54E-01,7.15E-01,2.68E-01,1.00E-01,2.66E-01,8.55E-01,2.07E+01
53 ,1.00E+00,7.33E-01,2.19E-01,3.00E-01,5.10E-01,4.74E-01,2.70E+01
54 ,4.54E-01,3.04E-01,7.25E-02,5.00E-01,4.01E-01,6.88E-01,3.89E+01
55 ,4.54E-01,3.68E-01,4.11E-02,5.00E-01,6.05E-01,7.54E-01,5.17E+01
56 ,1.81E-01,7.24E-01,1.76E-01,0.00E+00,2.13E-01,6.10E-01,1.37E+01
57 ,8.19E-01,7.67E-01,5.38E-02,8.00E-01,4.90E-01,7.23E-01,4.19E+01
58 ,2.73E-01,7.99E-02,5.12E-03,7.00E-01,3.07E-01,6.86E-01,5.35E+01
59 ,9.09E-01,6.92E-01,6.94E-01,1.00E-01,2.08E-01,2.36E-01,2.26E+01
60 ,4.54E-01,3.04E-01,4.84E-02,5.00E-01,3.11E-01,6.56E-01,4.24E+01
61 ,8.19E-01,2.51E-01,2.95E-01,2.00E-01,3.83E-01,4.44E-01,2.13E+01
62 ,9.09E-01,1.21E-01,3.65E-02,6.00E-01,5.31E-01,7.72E-01,6.32E+01
63 ,2.73E-01,3.93E-01,3.33E-01,3.00E-01,3.75E-01,4.21E-01,2.77E+01
64 ,1.00E+00,5.94E-02,7.89E-02,4.00E-01,5.14E-01,7.99E-01,5.50E+01
65 ,7.27E-01,4.00E-01,1.50E-01,0.00E+00,3.75E-01,8.15E-01,2.53E+01
66 ,8.19E-01,9.16E-01,1.55E-02,8.00E-01,5.37E-01,7.52E-01,4.43E+01
67 ,3.64E-01,2.28E-02,2.63E-02,6.00E-01,4.08E-01,7.26E-01,5.07E+01
68 ,9.09E-01,1.94E-01,1.26E-02,5.00E-01,4.20E-01,7.24E-01,5.68E+01
69 ,8.19E-01,6.94E-01,6.82E-02,6.00E-01,5.76E-01,6.96E-01,3.62E+01
70 ,1.81E-01,2.85E-01,8.33E-02,5.00E-01,6.71E-01,7.59E-01,4.20E+01
71 ,1.00E+00,1.51E-01,1.04E-02,9.00E-01,5.12E-01,7.50E-01,5.90E+01
72 ,4.54E-01,8.11E-01,9.55E-02,3.00E-01,5.28E-01,6.86E-01,4.08E+01
73 ,1.00E+00,7.42E-01,6.21E-02,8.00E-01,5.31E-01,7.07E-01,3.63E+01
74 ,5.46E-01,3.15E-01,6.28E-01,0.00E+00,1.15E-01,3.27E-01,2.00E+01
75 ,2.73E-01,1.55E-01,5.51E-02,1.00E+00,6.22E-01,6.91E-01,5.44E+01
76 ,9.09E-01,2.81E-01,2.07E-01,1.00E-01,2.42E-01,8.08E-01,2.95E+01
77 ,1.00E+00,8.20E-01,9.17E-02,3.00E-01,5.47E-01,6.92E-01,3.68E+01
78 ,1.81E-01,4.68E-01,3.34E-01,3.00E-01,3.77E-01,4.19E-01,2.56E+01
79 ,2.73E-01,8.72E-01,8.18E-02,2.00E-01,5.32E-01,6.50E-01,2.98E+01
80 ,3.64E-01,4.11E-01,2.15E-01,1.00E-01,2.39E-01,8.12E-01,2.65E+01
81 ,9.09E-01,2.69E-01,7.89E-02,4.00E-01,5.14E-01,7.99E-01,4.03E+01
82 ,3.64E-01,7.03E-01,5.48E-02,6.00E-01,3.90E-01,7.13E-01,3.68E+01
83 ,4.54E-01,3.01E-01,1.97E-02,7.00E-01,4.26E-01,7.44E-01,4.81E+01
84 ,2.73E-01,5.78E-01,4.15E-01,3.00E-01,3.45E-01,3.75E-01,1.77E+01
85 ,4.54E-01,3.45E-01,5.57E-02,7.00E-01,4.28E-01,7.67E-01,4.37E+01
86 ,9.06E-02,0.00E+00,4.88E-02,9.00E-01,4.42E-01,7.61E-01,5.08E+01
87 ,1.81E-01,4.11E-02,2.22E-01,1.00E-01,2.32E-01,8.14E-01,2.70E+01
88 ,1.00E+00,3.86E-01,6.25E-01,0.00E+00,1.32E-01,3.22E-01,1.83E+01
89 ,2.73E-01,2.03E-01,2.14E-01,0.00E+00,6.50E-01,5.83E-01,4.80E+01
90 ,9.09E-01,5.25E-01,6.07E-01,0.00E+00,1.91E-01,3.12E-01,2.53E+01
91 ,1.81E-01,0.00E+00,3.88E-02,1.00E-01,5.18E-01,6.15E-01,4.54E+01
92 ,6.36E-01,2.08E-01,2.13E-01,0.00E+00,6.50E-01,5.83E-01,4.32E+01
93 ,2.73E-01,4.70E-01,3.78E-01,4.00E-01,3.52E-01,3.98E-01,2.18E+01
94 ,2.73E-01,7.28E-01,1.74E-01,0.00E+00,2.08E-01,6.17E-01,1.61E+01
95 ,2.73E-01,9.34E-01,2.23E-02,5.00E-01,4.15E-01,7.20E-01,4.10E+01
96 ,2.73E-01,1.83E-01,1.26E-02,5.00E-01,4.20E-01,7.24E-01,5.18E+01
97 ,8.19E-01,1.46E-01,1.04E-02,9.00E-01,5.12E-01,7.50E-01,5.95E+01
98 ,4.54E-01,6.48E-01,9.19E-02,3.00E-01,5.50E-01,6.41E-01,3.46E+01
99 ,8.19E-01,3.74E-01,4.11E-02,5.00E-01,6.05E-01,7.54E-01,5.10E+01
100 ,8.19E-01,1.46E-01,1.04E-02,9.00E-01,5.12E-01,7.50E-01,6.22E+01
101 ,9.09E-01,4.00E-01,1.46E-01,4.00E-01,6.87E-01,6.53E-01,3.82E+01
102 ,1.81E-01,2.90E-01,2.27E-02,1.00E-01,5.05E-01,6.07E-01,3.29E+01
103 ,4.54E-01,2.51E-02,2.63E-02,6.00E-01,4.08E-01,7.26E-01,5.44E+01
104 ,9.06E-02,0.00E+00,2.86E-02,6.00E-01,2.92E-01,7.00E-01,4.57E+01
105 ,0.00E+00,7.47E-01,5.71E-02,6.00E-01,3.87E-01,7.44E-01,3.05E+01
106 ,1.81E-01,0.00E+00,4.17E-02,6.00E-01,5.50E-01,7.66E-01,7.10E+01
107 ,4.54E-01,3.93E-01,2.57E-02,8.00E-01,5.45E-01,7.50E-01,4.71E+01
108 ,7.27E-01,2.79E-01,2.07E-01,1.00E-01,2.42E-01,8.08E-01,2.66E+01
109 ,8.19E-01,7.17E-01,8.80E-02,2.00E-01,4.91E-01,6.69E-01,3.41E+01
110 ,1.00E+00,9.13E-02,3.29E-01,3.00E-01,3.75E-01,4.24E-01,2.84E+01
111 ,4.54E-01,1.85E-01,1.26E-02,5.00E-01,4.20E-01,7.24E-01,5.16E+01
112 ,1.00E+00,7.60E-01,2.68E-02,7.00E-01,5.45E-01,7.41E-01,3.94E+01
113 ,8.19E-01,2.26E-01,3.22E-01,3.00E-01,3.44E-01,4.43E-01,2.31E+01
114 ,7.27E-01,3.38E-01,5.72E-02,6.00E-01,3.59E-01,6.96E-01,7.60E+00
115 ,0.00E+00,6.99E-01,1.86E-02,8.00E-01,6.00E-01,7.32E-01,5.33E+01
116 ,4.54E-01,4.70E-01,1.11E-01,2.00E-01,5.92E-01,7.96E-01,4.64E+01
117 ,3.64E-01,7.05E-01,9.86E-01,1.00E-01,1.42E-01,5.71E-02,1.22E+01
118 ,3.64E-01,3.11E-01,6.46E-01,0.00E+00,8.22E-02,3.27E-01,1.30E+01
119 ,9.09E-01,5.78E-01,2.41E-01,3.00E-01,4.14E-01,4.70E-01,3.06E+01
